source,series,checkpoint_count,train_count,assumed_noise_fraction,tail_energy_rank_1,tail_energy_rank_2,tail_energy_rank_3,selected_order,pencil_order,pencil_all_real_stable,pencil_poles,pencil_train_nrmse
reproduction,20260718__solver_uncertainty,21,15,0.005,0.7936554790554344,0.597400560662007,0.419821422983716,4+,4,False,-0.150586|-0.0276067-0.23734j|-0.0276067+0.23734j|0.247018,nan
reproduction,20260718__solver_uncertainty,21,15,0.01,0.7936554790554344,0.597400560662007,0.419821422983716,4+,4,False,-0.150586|-0.0276067-0.23734j|-0.0276067+0.23734j|0.247018,nan
reproduction,20260718__solver_uncertainty,21,15,0.02,0.7936554790554344,0.597400560662007,0.419821422983716,4+,4,False,-0.150586|-0.0276067-0.23734j|-0.0276067+0.23734j|0.247018,nan
reproduction,20260718__solver_uncertainty,21,15,0.03,0.7936554790554344,0.597400560662007,0.419821422983716,4+,4,False,-0.150586|-0.0276067-0.23734j|-0.0276067+0.23734j|0.247018,nan
reproduction,20260718__solver_uncertainty,21,16,0.005,0.8187775643204603,0.6464125982412218,0.4904554809535415,4+,4,False,-0.59029|0.127676-0.551546j|0.127676+0.551546j|0.523865,nan
reproduction,20260718__solver_uncertainty,21,16,0.01,0.8187775643204603,0.6464125982412218,0.4904554809535415,4+,4,False,-0.59029|0.127676-0.551546j|0.127676+0.551546j|0.523865,nan
reproduction,20260718__solver_uncertainty,21,16,0.02,0.8187775643204603,0.6464125982412218,0.4904554809535415,4+,4,False,-0.59029|0.127676-0.551546j|0.127676+0.551546j|0.523865,nan
reproduction,20260718__solver_uncertainty,21,16,0.03,0.8187775643204603,0.6464125982412218,0.4904554809535415,4+,4,False,-0.59029|0.127676-0.551546j|0.127676+0.551546j|0.523865,nan
reproduction,20260718__verifier_uncertainty,21,10,0.005,0.21118228764175226,0.11203910012315219,0.013531037578627902,4+,4,False,-0.259759-0.251685j|-0.259759+0.251685j|0.297299-0.313526j|0.297299+0.313526j,nan
reproduction,20260718__verifier_uncertainty,21,10,0.01,0.21118228764175226,0.11203910012315219,0.013531037578627902,4+,4,False,-0.259759-0.251685j|-0.259759+0.251685j|0.297299-0.313526j|0.297299+0.313526j,nan
reproduction,20260718__verifier_uncertainty,21,10,0.02,0.21118228764175226,0.11203910012315219,0.013531037578627902,1,1,False,-0.129419,nan
reproduction,20260718__verifier_uncertainty,21,10,0.03,0.21118228764175226,0.11203910012315219,0.013531037578627902,1,1,False,-0.129419,nan
reproduction,20260718__verifier_uncertainty,21,12,0.005,0.21230086583466165,0.11316553471250976,0.014825342910854786,4+,4,False,-0.243915-0.221005j|-0.243915+0.221005j|0.271864-0.299372j|0.271864+0.299372j,nan
