panel,series,checkpoint,epoch,svg_x,svg_y,affine_uncertainty
gsm8k_tf,verifier,20,10.0,1411.357393,282.522579,0.0756975596892482
gsm8k_tf,gap,1,0.5,1147.817992,144.744372,0.5738012577039827
gsm8k_tf,gap,2,1.0,1161.688487,181.534854,0.4407941912384965
gsm8k_tf,gap,3,1.5,1175.558981,207.947373,0.3453061334806797
gsm8k_tf,gap,4,2.0,1189.429476,225.351167,0.282386936463646
gsm8k_tf,gap,5,2.5,1203.299971,238.152387,0.2361072296802635
gsm8k_tf,gap,6,3.0,1217.170466,249.738589,0.19422012585007858
gsm8k_tf,gap,7,3.5,1231.040961,258.470471,0.16265212384502792
gsm8k_tf,gap,8,4.0,1244.911456,265.199548,0.13832477766374174
gsm8k_tf,gap,9,4.5,1258.78195,271.23382,0.11650933047892853
gsm8k_tf,gap,10,5.0,1272.652445,273.818237,0.10716599750238485
gsm8k_tf,gap,11,5.5,1286.52294,275.213876,0.1021204031218919
gsm8k_tf,gap,12,6.0,1300.393435,278.878053,0.08887345969287389
gsm8k_tf,gap,13,6.5,1314.26393,280.863312,0.08169623717743627
gsm8k_tf,gap,14,7.0,1328.134424,282.25576,0.07666217908366806
gsm8k_tf,gap,15,7.5,1342.004919,284.7554,0.06762533679332274
gsm8k_tf,gap,16,8.0,1355.875414,284.890335,0.06713751202077645
gsm8k_tf,gap,17,8.5,1369.745909,285.677618,0.06429128123999604
gsm8k_tf,gap,18,9.0,1383.616404,286.731639,0.060480723900654426
gsm8k_tf,gap,19,9.5,1397.486899,287.302724,0.05841610456371703
gsm8k_tf,gap,20,10.0,1411.357393,288.175686,0.05526012213446154
