source,group,window_start,window_end,window_midpoint,relative_midpoint,shared_difference_mode,solver_difference_mode,verifier_difference_mode,gap_difference_mode,shared_relative_residual_energy
published,math_qe,0.5,3.5,2.0,0.15789473684210525,0.7091719324647482,0.723779159380471,0.8774600894318062,0.6578425096162539,0.03767106717878918
published,math_qe,1.0,4.0,2.5,0.21052631578947367,0.8425097935924968,0.8479522052962437,0.9105803610680604,0.8134176495940947,0.005918708557696883
published,math_qe,1.5,4.5,3.0,0.2631578947368421,0.8266067469058589,0.8301537307500761,0.868238793734986,0.8047371809854874,0.006540940244893269
published,math_qe,2.0,5.0,3.5,0.3157894736842105,0.7939087202640812,0.7978362242191599,0.8478826802098741,0.7634592703068288,0.019210182130729368
published,math_qe,2.5,5.5,4.0,0.3684210526315789,0.8216903124633084,0.8320246499883956,0.9317035634428961,0.7415302456820163,0.03287917148939878
published,math_qe,3.0,6.0,4.5,0.42105263157894735,0.8255195000318406,0.8290095593600925,0.8984435440742243,0.7620787674098445,0.041799345685631026
published,math_qe,3.5,6.5,5.0,0.47368421052631576,0.8107847008470643,0.8150301391352301,0.8549444641511479,0.7549806074902956,0.05839081834813394
published,math_qe,4.0,7.0,5.5,0.5263157894736842,0.7627965420052785,0.7690549469226795,0.8638773328793494,0.6362669563604862,0.08218107849900119
published,math_qe,4.5,7.5,6.0,0.5789473684210527,0.868235424137141,0.8725044413862784,0.9069076273770963,0.7880670201290731,0.06279363986220546
published,math_qe,5.0,8.0,6.5,0.631578947368421,0.8438948318875449,0.8503636767543379,0.9355023786443778,0.6604907054801752,0.10658275372540463
published,math_qe,5.5,8.5,7.0,0.6842105263157895,0.8182262788048383,0.824061488958391,0.8371112540154609,0.7379086478152914,0.14267417084269265
published,math_qe,6.0,9.0,7.5,0.7368421052631579,0.8265039184743078,0.8276693678267173,0.9075795789838577,0.6538861367252363,0.1725400390107687
published,math_qe,6.5,9.5,8.0,0.7894736842105263,0.7875861256407499,0.7896645716971195,0.8804047152020187,0.551849048928629,0.21530176928112757
published,math_qe,7.0,10.0,8.5,0.8421052631578947,0.8768197558142152,0.8867884801340494,0.8899893890503995,0.7720398168265982,0.18485609953054594
published,math_tf,0.5,3.5,2.0,0.15789473684210525,0.7606070627181972,0.7725928865352457,0.8915243657873185,0.7233169694976032,0.008736648968411776
published,math_tf,1.0,4.0,2.5,0.21052631578947367,0.7419162761975417,0.7512378909344566,0.8506545960772449,0.7024887447917777,0.012445345131806462
published,math_tf,1.5,4.5,3.0,0.2631578947368421,0.7938406541462066,0.7970181972545919,0.8136604544357233,0.7809422127035309,0.008908714202682973
published,math_tf,2.0,5.0,3.5,0.3157894736842105,0.8172323751037591,0.8272501591881732,0.9110386588517948,0.7636016958921269,0.011445944027510068
published,math_tf,2.5,5.5,4.0,0.3684210526315789,0.8436037047639028,0.8459965649784821,0.8686349134449398,0.8255257222339024,0.008183999142332565
published,math_tf,3.0,6.0,4.5,0.42105263157894735,0.8431637539505585,0.8468163848460282,0.8853141956929077,0.8108682411255906,0.011400492395792354
published,math_tf,3.5,6.5,5.0,0.47368421052631576,0.8008783031259218,0.8028880513030018,0.8385043620046666,0.7710392191006505,0.010717369025361597
published,math_tf,4.0,7.0,5.5,0.5263157894736842,0.8300558540941101,0.8386270579447981,0.9325007003386685,0.7248716549349244,0.022494521417561673
published,math_tf,4.5,7.5,6.0,0.5789473684210527,0.8580131629909376,0.8606514862962783,0.8876329596869398,0.8122160841836823,0.018940579604824766
published,math_tf,5.0,8.0,6.5,0.631578947368421,0.8776041776140865,0.8811266391889114,0.9214692958857843,0.804187435167542,0.037662949300458784
published,math_tf,5.5,8.5,7.0,0.6842105263157895,0.8637806654291845,0.8708170057329929,0.8790605512170291,0.803161468731579,0.0519953994756134
published,math_tf,6.0,9.0,7.5,0.7368421052631579,0.8690945229359881,0.8804238141936926,0.8225667874354211,0.8931378023988054,0.06408737631895738
published,math_tf,6.5,9.5,8.0,0.7894736842105263,0.8488375036332236,0.8536227833595545,0.8677001287924336,0.7965100160159121,0.08327254674399262
published,math_tf,7.0,10.0,8.5,0.8421052631578947,0.8915957290838591,0.8993391632379034,0.8922491042013126,0.8451974994540833,0.0900557806760077
reproduction,20260718,0.0,3.0,1.5,0.15,0.0929536224811909,0.11572708556689999,0.13833179342636398,0.07510140209210547,0.9910286267074041
reproduction,20260718,0.5,3.5,2.0,0.2,0.05883557280623298,0.10845874608037548,-0.182536115419694,0.03274238683702031,0.9963754967831358
reproduction,20260718,1.0,4.0,2.5,0.25,0.06972557360054225,0.12452285142598324,-0.33354448266792097,0.04211274929736153,0.9951307070263384
reproduction,20260718,1.5,4.5,3.0,0.3,0.021577723383582933,0.04785336390391239,-0.2756913274818663,0.011384861733090267,0.9754876340829858
reproduction,20260718,2.0,5.0,3.5,0.35,-0.30727249948967106,0.23512995540935916,-0.23678476124240985,-0.4639801351442218,0.9034056165618292
reproduction,20260718,2.5,5.5,4.0,0.4,-0.32386589754994366,0.3258970892020888,-0.24876511719016992,-0.45423124400775455,0.8953660156052575
reproduction,20260718,3.0,6.0,4.5,0.45,-0.3177713429528769,0.32287534439656274,-0.2462846735399099,-0.4445676756578318,0.8933428061551738
reproduction,20260718,3.5,6.5,5.0,0.5,-0.44418383696339214,-0.008176340070238527,-0.3439923271864092,-0.5898970539548568,0.9251670474694632
reproduction,20260718,4.0,7.0,5.5,0.55,-0.25358817665984007,-1.0124229376024985,-0.03578870982027666,0.17108630436539746,0.9473976690284902
reproduction,20260718,4.5,7.5,6.0,0.6,-0.6903580662226276,-1.0922186923739938,-0.0429212854533917,-0.855336844092922,0.7002263320138578
reproduction,20260718,5.0,8.0,6.5,0.65,-0.4193277301050217,-0.649094101948335,-0.042071755018003844,-0.3440650921508593,0.8241427306209677
reproduction,20260718,5.5,8.5,7.0,0.7,-0.43041782800571626,-0.6572194274574876,-0.0421789862081662,-0.3659856294235812,0.859957175919705
reproduction,20260718,6.0,9.0,7.5,0.75,-0.3311840386574082,-0.4895234329501535,-0.02799728415986067,-0.2629791072592467,0.8519527353426606
reproduction,20260718,6.5,9.5,8.0,0.8,-0.3416844561409739,-0.3417596927926365,0.541753893671703,-0.34259320004781135,0.8380481124167262
reproduction,20260718,7.0,10.0,8.5,0.85,-0.01795595387696492,-0.015115854189126825,0.2672494395913876,-0.021079029847881434,0.9993055722056245
reproduction,20260719,0.0,3.0,1.5,0.15,-0.30083628658700995,0.07626913056076758,-0.40953882382801804,-0.3019942346278767,0.9094790230318925
