checkpoint,single_mode_residual,single_mode_profile,single_mode_kernel,two_mode_residual,two_mode_profile,two_mode_kernel
69,1.1794063195329593e-24,1.0,0.0,0.003497533694226386,0.9965024663057737,0.00022324683154639757
70,5.307328437898317e-25,1.0,0.0,0.0032876816725728028,0.9967123183274272,0.0002098520216535782
71,2.388297797054243e-25,1.0,0.0,0.0030904207722184346,0.9969095792277816,0.00019726090035432353
72,1.0747340086744093e-25,1.0,0.0,0.0029049955258853284,0.9970950044741147,0.0001854252463331374
73,4.836303039034842e-26,1.0,0.0,0.0027306957943322085,0.9972693042056678,0.00017429973155314027
74,2.176336367565679e-26,1.0,0.0,0.0025668540466722758,0.9974331459533278,0.00016384174765993187
75,9.793513654045555e-27,1.0,0.0,0.002412842803871939,0.9975871571961281,0.00015401124280034484
76,4.4070811443205e-27,1.0,0.0,0.0022680722356396227,0.9977319277643604,0.00014477056823225531
77,1.983186514944225e-27,1.0,0.0,0.0021319879015012453,0.9978680120984987,0.0001360843341383644
78,8.924339317249014e-28,1.0,0.0,0.0020040686274111702,0.9979959313725888,0.00012791927409006032
79,4.015952692762056e-28,1.0,0.0,0.0018838245097665,0.9981161754902335,0.00012024411764466336
80,1.8071787117429251e-28,1.0,0.0,0.0017707950391805099,0.9982292049608195,0.00011302947058600132
