source,series,truth,checkpoint_count,train_count,heldout_count,train_fraction,model,winner,train_sse,heldout_mse,heldout_nrmse,mse_ratio_to_persistence,parameters
synthetic_1pct,rank_two_140,rank_2,21,12,9,0.5714285714285714,rank_2,True,0.0004925051998796448,0.00030635946152251007,0.01868607015209784,0.1975955040569654,"{""amplitudes"": [0.5579353190355429, 0.45959824714445213], ""endpoint"": 0.1788410940318596, ""modes"": [0.3, 0.85]}"
synthetic_1pct,rank_two_140,rank_2,21,14,7,0.6666666666666666,persistence,False,1.3314924374751536,0.0013918232934232565,0.039148353902985863,1.0,"{""last_value"": 0.25365529240181617}"
synthetic_1pct,rank_two_140,rank_2,21,14,7,0.6666666666666666,local_linear,False,1.132571846167095,0.0004155045916087733,0.021389930286862455,0.298532574912237,"{""bandwidth"": 1.5, ""intercept_at_last_checkpoint"": 0.24923157089209869, ""slope"": -0.004182568627180521, ""validation_mse"": 0.00038023152810322643}"
synthetic_1pct,rank_two_140,rank_2,21,14,7,0.6666666666666666,power_law,False,0.000923073624334196,0.00033470390469295195,0.019197816884221404,0.24047873481804652,"{""amplitude"": 0.9237290519456843, ""endpoint"": 0.008034766629507917, ""endpoint_constrained"": true, ""power"": 0.5263789801318501, ""time_shift"": 0.6150700355298502}"
synthetic_1pct,rank_two_140,rank_2,21,14,7,0.6666666666666666,rank_1,False,0.01599525136735469,0.003557151444141576,0.06258534248790334,2.555749326044138,"{""amplitudes"": [0.8787999254785019], ""endpoint"": 0.27673613274383807, ""modes"": [0.6]}"
synthetic_1pct,rank_two_140,rank_2,21,14,7,0.6666666666666666,rank_2,True,0.0007866107508363029,0.0002729858900515289,0.017337702855330844,0.19613545149105155,"{""amplitudes"": [0.5634995075194964, 0.44961220043802885], ""endpoint"": 0.18394381421934594, ""modes"": [0.3, 0.85]}"
synthetic_1pct,rank_two_140,rank_2,21,15,6,0.7142857142857143,persistence,True,1.5393011281290494,0.00022086311659515529,0.01514447332313435,1.0,"{""last_value"": 0.21628011477889528}"
synthetic_1pct,rank_two_140,rank_2,21,15,6,0.7142857142857143,local_linear,False,0.7239706344414352,0.003026791640439666,0.05606396891637963,13.704378019685862,"{""bandwidth"": 1.5, ""intercept_at_last_checkpoint"": 0.22346168365447502, ""slope"": -0.01490547097031085, ""validation_mse"": 0.00043615869798825364}"
synthetic_1pct,rank_two_140,rank_2,21,15,6,0.7142857142857143,power_law,False,0.0010931167723296062,0.000551079116397849,0.023922113860812857,2.495116092224165,"{""amplitude"": 0.9427342132712891, ""endpoint"": -0.054920454813770114, ""endpoint_constrained"": true, ""power"": 0.4498984452568378, ""time_shift"": 0.5286653611361815}"
synthetic_1pct,rank_two_140,rank_2,21,15,6,0.7142857142857143,rank_1,False,0.01939500997224597,0.002918683266151948,0.055053642772685034,13.214896679596867,"{""amplitudes"": [0.887644677424192], ""endpoint"": 0.2711863883857747, ""modes"": [0.6]}"
