replicate,arm,round,entropy,coverage,unique_fraction,quality,population_fraction
0,guided,3,0.9181510735944582,0.9375,1.0,0.9590755367972291,1.0
1,raw_replace,3,0.7447483919797677,0.875,0.7083333333333334,0.7265408626565506,1.0
1,anchored,3,0.9561408216835399,1.0,1.0,0.9780704108417699,1.0
1,verified,3,0.9987417972906971,1.0,1.0,0.9993708986453486,1.0
1,guided,3,0.97045234432345,1.0,1.0,0.985226172161725,1.0
2,raw_replace,3,0.9087110823563217,1.0,1.0,0.9543555411781608,1.0
2,anchored,3,0.9412246090030267,1.0,0.875,0.9081123045015134,1.0
2,verified,3,0.9962253918720911,1.0,1.0,0.9981126959360456,1.0
2,guided,3,0.9818401696977984,1.0,1.0,0.9909200848488993,1.0
3,raw_replace,3,0.9060744290923812,1.0,0.9583333333333334,0.9322038812128572,1.0
3,anchored,3,0.8910872669794673,1.0,0.8333333333333334,0.8622103001564003,1.0
3,verified,3,0.9937089864534854,1.0,1.0,0.9968544932267427,1.0
3,guided,3,0.9795739585136224,1.0,1.0,0.9897869792568113,1.0
4,raw_replace,3,0.8317630536464814,0.9375,1.0,0.9158815268232408,1.0
4,anchored,3,0.9060286117904115,1.0,0.8333333333333334,0.8696809725618724,1.0
4,verified,3,0.977713084856716,1.0,1.0,0.988856542428358,1.0
4,guided,3,0.8624373699944918,0.9375,1.0,0.9312186849972459,1.0
5,raw_replace,3,0.7684274589085576,1.0,0.875,0.8217137294542788,1.0
5,anchored,3,0.9824188506294607,1.0,0.9583333333333334,0.9703760919813971,1.0
5,verified,3,0.9974835945813941,1.0,1.0,0.9987417972906971,1.0
5,guided,3,0.9834222661759138,1.0,1.0,0.9917111330879569,1.0
6,raw_replace,3,0.8308304119401305,0.9375,0.9166666666666666,0.8737485393033986,1.0
6,anchored,3,0.898338372974039,1.0,0.7083333333333334,0.8033358531536862,1.0
6,verified,3,0.9468621098808416,0.9375,1.0,0.9734310549404208,1.0
6,guided,3,0.8545739585136224,0.875,1.0,0.9272869792568113,1.0
7,raw_replace,3,0.8193599959344162,1.0,0.875,0.8471799979672081,1.0
7,anchored,3,0.9130948446748736,1.0,0.5416666666666666,0.7273807556707701,1.0
7,verified,3,0.9962253918720912,1.0,1.0,0.9981126959360456,1.0
7,guided,3,0.9221804688852169,0.9375,1.0,0.9610902344426084,1.0
8,raw_replace,3,0.9451680323802218,1.0,1.0,0.9725840161901109,1.0
8,anchored,3,0.9319684554953391,1.0,0.9166666666666666,0.9243175610810028,1.0
8,verified,3,0.9877073084168844,1.0,1.0,0.9938536542084422,1.0
8,guided,3,0.8231203125901445,0.8125,1.0,0.9115601562950723,1.0
9,raw_replace,3,0.9670085144010662,1.0,1.0,0.983504257200533,1.0
9,anchored,3,0.8996635991912387,1.0,0.625,0.7623317995956194,1.0
9,verified,3,0.9987417972906971,1.0,1.0,0.9993708986453486,1.0
9,guided,3,0.8647869792568113,0.875,1.0,0.9323934896284056,1.0
10,raw_replace,3,0.9285568824117267,1.0,1.0,0.9642784412058634,1.0
10,anchored,3,0.9217869605819395,1.0,1.0,0.9608934802909698,1.0
10,verified,3,0.9926318713726495,1.0,1.0,0.9963159356863247,1.0
10,guided,3,0.9715437508764664,1.0,1.0,0.9857718754382332,1.0
11,raw_replace,3,0.8650695419172446,1.0,0.9583333333333334,0.911701437625289,1.0
11,anchored,3,0.8824240858756225,1.0,0.7083333333333334,0.795378709604478,1.0
11,verified,3,0.9446621911955801,0.9375,1.0,0.9723310955977901,1.0
11,guided,3,0.9638982767912554,1.0,1.0,0.9819491383956277,1.0
12,raw_replace,3,0.878513779124561,0.9375,1.0,0.9392568895622805,1.0
12,anchored,3,0.8918767777895953,1.0,0.625,0.7584383888947976,1.0
12,verified,3,0.9974835945813941,1.0,1.0,0.9987417972906971,1.0
12,guided,3,0.9826007980452899,1.0,0.9583333333333334,0.9704670656893116,1.0
13,raw_replace,3,0.8804672539075982,0.9375,1.0,0.9402336269537991,1.0
13,anchored,3,0.8961463692527476,1.0,0.875,0.8855731846263738,1.0
13,verified,3,0.9987417972906971,1.0,1.0,0.9993708986453486,1.0
13,guided,3,0.9872705738382054,1.0,1.0,0.9936352869191027,1.0
14,raw_replace,3,0.8271481694251435,1.0,0.875,0.8510740847125717,1.0
14,anchored,3,0.8839145174527644,1.0,0.8333333333333334,0.8586239253930489,1.0
14,verified,3,0.9974835945813941,1.0,1.0,0.9987417972906971,1.0
14,guided,3,0.9885287765475083,1.0,1.0,0.9942643882737541,1.0
15,raw_replace,3,0.8031344393052282,0.875,0.9583333333333334,0.8807338863192808,1.0
15,anchored,3,0.9521257178649619,1.0,0.8333333333333334,0.8927295255991476,1.0
15,verified,3,0.9962253918720911,1.0,1.0,0.9981126959360456,1.0
15,guided,3,0.9685689123715329,1.0,1.0,0.9842844561857664,1.0
0,raw_replace,4,0.8538472893884789,0.875,0.9583333333333334,0.9060903113609061,1.0
0,anchored,4,0.8917636374614533,1.0,0.5416666666666666,0.71671515206406,1.0
0,verified,4,0.9962253918720911,1.0,1.0,0.9981126959360456,1.0
