problem_id,tag,replicate,rho,round,population_size,mean_accuracy,mean_fitness,pass_at_4,distinct_fraction,effective_answers,invalid_fraction,regressions,recoveries,fitness_regressions,fitness_improvements,candidate_ids
603,ELECTRICITY,0,-6.0,5,4,0.0,0.071875,0,0.5,1.6,0.0,0,0,0,0,control-restart-20260719-ce35bc4ad4a048d4|control-restart-20260719-c5cd056d539242f1|control-restart-20260719-c5cd056d539242f1|control-restart-20260719-c5cd056d539242f1
603,ELECTRICITY,0,0.0,5,4,0.0,0.0,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-61178dcd66014538|control-restart-20260719-8282d8b56d0b4510|control-restart-20260719-18061df3034342ff|control-restart-20260719-61178dcd66014538
603,ELECTRICITY,0,2.0,5,4,0.0,0.13749999999999998,0,0.75,2.6666666666666665,0.25,0,0,0,0,control-restart-20260719-d1a575eec547438d|control-restart-20260719-d1a575eec547438d|control-restart-20260719-ec6dad23a69542b9|control-restart-20260719-39c3555d41ba4e5a
83,ELECTRICITY,0,-6.0,5,4,0.0,0.43333333333333335,0,0.25,1.0,0.0,0,0,0,0,control-restart-20260719-af4ca9ca16574418|control-restart-20260719-841331508ddb467f|control-restart-20260719-841331508ddb467f|control-restart-20260719-841331508ddb467f
83,ELECTRICITY,0,0.0,5,4,0.0,0.10833333333333334,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-393ea00be09641c6|control-restart-20260719-6e5888d5043243db|control-restart-20260719-282787f6288f43d3|control-restart-20260719-6e5888d5043243db
83,ELECTRICITY,0,2.0,5,4,0.0,0.43333333333333335,0,0.25,1.0,0.0,0,0,0,0,control-restart-20260719-44bd55f779f14529|control-restart-20260719-387ad9c9b9b44cf3|control-restart-20260719-44bd55f779f14529|control-restart-20260719-44bd55f779f14529
244,THERMODYNAMICS,0,-6.0,5,4,0.0,0.0,0,0.25,1.0,0.0,0,0,0,0,control-restart-20260719-9f50da41dad64da6|control-restart-20260719-9f50da41dad64da6|control-restart-20260719-e0dc184d08d346d7|control-restart-20260719-e0dc184d08d346d7
244,THERMODYNAMICS,0,0.0,5,4,0.0,0.0,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-d25e2ca616724584|control-restart-20260719-9efefa4271674b05|control-restart-20260719-d11c779d499a4592|control-restart-20260719-d25e2ca616724584
244,THERMODYNAMICS,0,2.0,5,4,0.5,0.5,1,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-d406cc7d6ca545e0|control-restart-20260719-d406cc7d6ca545e0|control-restart-20260719-ee397ca5775d401a|control-restart-20260719-0bb6bb625013468c
443,ELECTRICITY,0,-6.0,6,4,0.0,0.0,0,0.5,2.0,0.5,0,0,0,0,control-restart-20260719-e09cb1d75cfd43c6|control-restart-20260719-e09cb1d75cfd43c6|control-restart-20260719-343c1a1fc8714624|control-restart-20260719-343c1a1fc8714624
443,ELECTRICITY,0,0.0,6,4,0.0,0.0,0,0.5,1.6,0.0,0,0,0,0,control-restart-20260719-ddbd6e1a06694b98|control-restart-20260719-a1eb72253ed34a6f|control-restart-20260719-a1eb72253ed34a6f|control-restart-20260719-a1eb72253ed34a6f
443,ELECTRICITY,0,2.0,6,4,0.0,0.0,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-dc5c3aed6f2b414d|control-restart-20260719-9d3bb4b485e9441b|control-restart-20260719-cec06317e7da48b9|control-restart-20260719-dc5c3aed6f2b414d
458,ADVANCED,0,-6.0,6,4,0.0,0.056249999999999994,0,0.5,1.6,0.0,0,0,0,0,control-restart-20260719-784de7d7af9b4ab8|control-restart-20260719-784de7d7af9b4ab8|control-restart-20260719-062a28ddd94341a9|control-restart-20260719-784de7d7af9b4ab8
458,ADVANCED,0,0.0,6,4,0.0,0.08124999999999999,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-4476560f07714227|control-restart-20260719-df28d5df801243e1|control-restart-20260719-df28d5df801243e1|control-restart-20260719-7bec1213ab4c4c9b
458,ADVANCED,0,2.0,6,4,0.0,0.17812499999999998,0,1.0,4.0,0.0,0,0,0,0,control-restart-20260719-8b252e2022af4666|control-restart-20260719-268470e9843c409f|control-restart-20260719-cb1242bc2fa84a78|control-restart-20260719-bbf484dd86104b43
69,MECHANICS,0,-6.0,6,4,0.0,0.04999999999999999,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-248be72b32b144fb|control-restart-20260719-248be72b32b144fb|control-restart-20260719-5692434269d940dc|control-restart-20260719-3bab02640b024df0
69,MECHANICS,0,0.0,6,4,0.0,0.04090909090909092,0,0.75,2.6666666666666665,0.0,0,0,0,0,control-restart-20260719-464aee32c0484387|control-restart-20260719-151999fd07654921|control-restart-20260719-464aee32c0484387|control-restart-20260719-0ccb9dc9f5844cbc
