family,regime,window,noise,count,class_accuracy,forecast_success_rate,median_radius_error,median_forecast_nrmse,p90_forecast_nrmse
random_split,post_lag,48,0,144863,0.8893782401303301,0.995188557464639,0.0006516460662,4.90342967042e-05,0.00588522806646
random_split,post_lag,48,0.001,144863,0.6194473399004576,0.9951954605385779,0.00450252549797,0.0002219667639,0.00603377570506
random_split,post_lag,48,1e-05,144863,0.8226393212897704,0.995188557464639,0.00105655442662,4.90836167577e-05,0.00588522806646
random_split,post_lag,48,1e-08,144863,0.8870588072868848,0.995188557464639,0.000663782934642,4.90335126142e-05,0.00588522806646
random_split,post_lag,96,0,144863,0.8659561102558969,0.9979152716704749,0.0005394517344,7.9319554483e-08,0.000364775845094
random_split,post_lag,96,0.001,144863,0.3213588010741183,0.9979152716704749,0.445348645915,1.65530580518e-06,0.000477689799176
random_split,post_lag,96,1e-05,144863,0.5631803842250954,0.9979152716704749,0.00504189116228,3.39586952315e-07,0.000364904239689
random_split,post_lag,96,1e-08,144863,0.7961591296604378,0.9979152716704749,0.000736683128923,7.93196250167e-08,0.000364775921703
slow,origin,24,0,143788,0.3569073914373939,0.3569073914373939,0.880580531815,0.834175032889,0.999969427602
slow,origin,24,0.001,143788,0.3568795727042591,0.3568934820708265,0.496100531345,0.834175032889,0.999969427602
slow,origin,24,1e-05,143788,0.3569073914373939,0.3569073914373939,0.819208574101,0.834175032889,0.999969427602
slow,origin,24,1e-08,143788,0.3569073914373939,0.3569073914373939,0.880580516212,0.834175032889,0.999969427602
slow,origin,48,0,143788,0.3569073914373939,0.3569073914373939,0.233941661651,0.83693849034,1.0
slow,origin,48,0.001,143788,0.3569073914373939,0.3569073914373939,0.475204183743,0.83693849034,1.0
slow,origin,48,1e-05,143788,0.3569073914373939,0.3569073914373939,0.236673560154,0.83693849034,1.0
slow,origin,48,1e-08,143788,0.3569073914373939,0.3569073914373939,0.233941666849,0.83693849034,1.0
slow,origin,96,0,143788,0.3569073914373939,0.3569073914373939,0.133969424728,0.904680761455,1.0
slow,origin,96,0.001,143788,0.3569073914373939,0.3569073914373939,0.296967977372,0.904680761455,1.0
slow,origin,96,1e-05,143788,0.3569073914373939,0.3569073914373939,0.292572350527,0.904680761455,1.0
slow,origin,96,1e-08,143788,0.3569073914373939,0.3569073914373939,0.13396942484,0.904680761455,1.0
slow,post_lag,24,0,143788,0.3569073914373939,0.3569073914373939,0.135912461233,0.999343462693,1.00017629735
slow,post_lag,24,0.001,143788,0.35249116755222965,0.3569073914373939,0.325687979236,0.999403492399,1.00000000773
slow,post_lag,24,1e-05,143788,0.3569073914373939,0.3569073914373939,0.144566454746,0.999403492399,1.0001608791
slow,post_lag,24,1e-08,143788,0.3569073914373939,0.3569073914373939,0.135915765858,0.999343533336,1.00017629734
slow,post_lag,48,0,143788,0.3569073914373939,0.3569073914373939,0.190966521919,0.831821753678,1.00000000011
