worker,schema_index,family,schema,max_lag,branch_count,window,window_start,regime,noise,true_radius,true_class,estimated_order,recovered_radius,recovered_class,radius_error,class_correct,forecast_nrmse,forecast_success,signal_rms
23,11030,finite_horizon,13:5450;14:34;15:10900,15,16384,24,15,post_lag,0.001,0.997962569021,ringing,1,0.971409668171,alternating,0.0265529008501,0,1.01490245032,0,2.22246746355
12,12122,finite_horizon,13:5450;14:34;15:10900,15,16384,24,15,post_lag,0.001,0.997962569021,ringing,1,0.971437381893,alternating,0.0265251871282,0,1.01490154056,0,2.22246746355
9,15511,finite_horizon,13:5450;14:34;15:10900,15,16384,24,15,post_lag,0.001,0.997962569021,ringing,1,0.971384039324,alternating,0.0265785296965,0,1.01490041887,0,2.22246746355
0,1656,finite_horizon,13:5446;14:46;15:10892,15,16384,24,15,post_lag,0.001,0.997853758753,ringing,1,0.971202677982,alternating,0.0266510807701,0,1.01489980056,0,2.22177538834
23,11030,finite_horizon,13:5450;14:34;15:10900,15,16384,24,15,post_lag,1e-05,0.997962569021,ringing,1,0.971361861905,alternating,0.0266007071159,0,1.01489962498,0,2.22246746355
12,12122,finite_horizon,13:5450;14:34;15:10900,15,16384,24,15,post_lag,1e-05,0.997962569021,ringing,1,0.971361050989,alternating,0.0266015180324,0,1.01489941363,0,2.22246746355
9,15511,finite_horizon,13:5450;14:34;15:10900,15,16384,24,15,post_lag,1e-08,0.997962569021,ringing,1,0.971361132976,alternating,0.0266014360449,0,1.01489938907,0,2.22246746355
23,11030,finite_horizon,13:5450;14:34;15:10900,15,16384,24,15,post_lag,1e-08,0.997962569021,ringing,1,0.971361132769,alternating,0.026601436252,0,1.0148993888,0,2.22246746355
23,11030,finite_horizon,13:5450;14:34;15:10900,15,16384,24,15,post_lag,0,0.997962569021,ringing,1,0.97136113218,alternating,0.0266014368412,0,1.01489938861,0,2.22246746355
12,12122,finite_horizon,13:5450;14:34;15:10900,15,16384,24,15,post_lag,0,0.997962569021,ringing,1,0.97136113218,alternating,0.0266014368412,0,1.01489938861,0,2.22246746355
9,15511,finite_horizon,13:5450;14:34;15:10900,15,16384,24,15,post_lag,0,0.997962569021,ringing,1,0.97136113218,alternating,0.0266014368412,0,1.01489938861,0,2.22246746355
12,12122,finite_horizon,13:5450;14:34;15:10900,15,16384,24,15,post_lag,1e-08,0.997962569021,ringing,1,0.97136113112,alternating,0.0266014379007,0,1.01489938796,0,2.22246746355
9,15511,finite_horizon,13:5450;14:34;15:10900,15,16384,24,15,post_lag,1e-05,0.997962569021,ringing,1,0.971359834284,alternating,0.0266027347367,0,1.01489921124,0,2.22246746355
26,11900,finite_horizon,13:5452;14:28;15:10904,15,16384,24,15,post_lag,0.001,0.998016916652,ringing,1,0.971344759635,alternating,0.0266721570174,0,1.01489901041,0,2.22281426293
1,15611,finite_horizon,13:5448;14:40;15:10896,15,16384,24,15,post_lag,0.001,0.997908183073,ringing,1,0.971233679577,alternating,0.0266745034962,0,1.01489653879,0,2.22212117278
27,12994,finite_horizon,13:5449;14:37;15:10898,15,16384,24,15,post_lag,1e-08,0.99793538084,ringing,1,0.971326567285,alternating,0.026608813555,0,1.0148955015,0,2.22229425474
21,9339,finite_horizon,13:5449;14:37;15:10898,15,16384,24,15,post_lag,1e-08,0.99793538084,ringing,1,0.971326567955,alternating,0.0266088128849,0,1.01489550142,0,2.22229425474
27,12994,finite_horizon,13:5449;14:37;15:10898,15,16384,24,15,post_lag,0,0.99793538084,ringing,1,0.971326566815,alternating,0.0266088140253,0,1.01489550141,0,2.22229425474
22,2918,finite_horizon,13:5449;14:37;15:10898,15,16384,24,15,post_lag,0,0.99793538084,ringing,1,0.971326566815,alternating,0.0266088140253,0,1.01489550141,0,2.22229425474
21,9339,finite_horizon,13:5449;14:37;15:10898,15,16384,24,15,post_lag,0,0.99793538084,ringing,1,0.971326566815,alternating,0.0266088140253,0,1.01489550141,0,2.22229425474
22,2918,finite_horizon,13:5449;14:37;15:10898,15,16384,24,15,post_lag,1e-08,0.99793538084,ringing,1,0.971326565443,alternating,0.0266088153972,0,1.01489550096,0,2.22229425474
21,9339,finite_horizon,13:5449;14:37;15:10898,15,16384,24,15,post_lag,1e-05,0.99793538084,ringing,1,0.971326838602,alternating,0.0266085422379,0,1.01489547909,0,2.22229425474
22,2918,finite_horizon,13:5449;14:37;15:10898,15,16384,24,15,post_lag,1e-05,0.99793538084,ringing,1,0.971326227225,alternating,0.0266091536156,0,1.01489542673,0,2.22229425474
27,12994,finite_horizon,13:5449;14:37;15:10898,15,16384,24,15,post_lag,1e-05,0.99793538084,ringing,1,0.971326858456,alternating,0.0266085223846,0,1.01489542483,0,2.22229425474
18,7999,finite_horizon,13:5460;14:4;15:10920,15,16384,24,15,post_lag,0.001,0.998233925134,ringing,1,0.971638965508,alternating,0.0265949596262,0,1.01489446827,0,2.22420659231
1,15611,finite_horizon,13:5448;14:40;15:10896,15,16384,24,15,post_lag,1e-05,0.997908183073,ringing,1,0.971292653486,alternating,0.026615529587,0,1.01489155881,0,2.22212117278
1,15611,finite_horizon,13:5448;14:40;15:10896,15,16384,24,15,post_lag,1e-08,0.997908183073,ringing,1,0.971291702431,alternating,0.0266164806426,0,1.01489151681,0,2.22212117278
1,15611,finite_horizon,13:5448;14:40;15:10896,15,16384,24,15,post_lag,0,0.997908183073,ringing,1,0.97129170179,alternating,0.0266164812831,0,1.01489151666,0,2.22212117278
14,8216,finite_horizon,13:5442;14:58;15:10884,15,16384,24,15,post_lag,0.001,0.997744794765,ringing,1,0.971187936247,alternating,0.0265568585181,0,1.01489125668,0,2.22108532942
7,14128,finite_horizon,13:5443;14:55;15:10886,15,16384,24,15,post_lag,0.001,0.997772050198,ringing,1,0.971194946936,alternating,0.0265771032624,0,1.01489032381,0,2.2212576561
5,5187,finite_horizon,13:5455;14:19;15:10910,15,16384,24,15,post_lag,0.001,0.998098366378,ringing,1,0.97154498764,alternating,0.0265533787379,0,1.01488892008,0,2.22333542062
22,8769,finite_horizon,13:5447;14:43;15:10894,15,16384,24,15,post_lag,1e-05,0.997880975713,ringing,1,0.971256889243,alternating,0.02662408647,0,1.01488748455,0,2.22194821741
5,14782,finite_horizon,13:5447;14:43;15:10894,15,16384,24,15,post_lag,1e-08,0.997880975713,ringing,1,0.971256533188,alternating,0.0266244425255,0,1.01488743376,0,2.22194821741
22,8769,finite_horizon,13:5447;14:43;15:10894,15,16384,24,15,post_lag,0,0.997880975713,ringing,1,0.971256533026,alternating,0.0266244426872,0,1.01488743351,0,2.22194821741
